썬PVC,25000,30000,0,0,0,0,0,0,0,0,0,0
아시아방수,23000,28000,31000,5500,0,0,0,0,0,0,0,0
아이시디건설,27000,32000,0,0,0,0,0,0,0,0,0,0
아진레이어,23000,27000,32000,0,0,0,0,0,0,0,0,0
아해산업(경산),23000,0,31000,0,0,0,0,0,0,0,0,0
아해상사(광주),22000,28000,31000,0,0,0,0,0,0,0,0,0
아해케미칼,23000,28000,31000,0,0,135000,0,0,0,0,0,0
야긴상사,24000,29000,0,6000,0,0,0,0,0,0,0,0
에스아이교역,23000,0,0,0,0,0,0,0,0,0,0,0
에스엔화성,24000,29000,34000,0,0,0,0,0,0,0,0,0
에스코,23000,28000,31000,0,45000,135000,0,0,0,0,0,0
엔알피건업,23000,27000,30000,0,35000,120000,0,0,0,0,0,0
영테크세상,25000,31000,34000,0,60000,0,0,35000,60000,0,60000,0
우성이엔지,0,31000,0,0,0,0,0,0,0,0,0,0
우주산업,24000,28000,0,0,0,130000,0,0,0,0,0,0
유림(수원),23000,27000,32000,5500,0,0,0,0,0,0,0,0
유승화학,25000,31000,35000,0,0,0,0,0,0,0,0,0
유이방수,23000,27000,32000,0,0,0,0,0,0,0,0,0
유한케미칼,23000,28000,31000,0,0,0,0,0,0,0,0,0
은천건설,26000,31000,35000,0,0,0,0,0,0,0,0,0
이지스건설,25000,30000,34000,0,0,0,0,0,0,0,0,0
이지켐,22000,29000,31000,0,0,130000,0,0,0,0,0,0
이화상사,24000,27000,31000,0,0,0,0,0,0,0,0,0
인덕산업,23000,27000,0,5500,0,0,0,0,0,0,0,0
일산시멘트,26000,29000,0,0,0,0,0,0,0,0,0,0
일성,22000,27000,31000,0,35000,130000,0,0,0,0,0,0
제일방수(김해),23500,27000,32000,0,50000,0,40000,0,0,0,0,0
지원상사(원주),25000,29000,0,0,0,0,0,0,0,0,0,0
진명상사,25000,30000,0,6000,0,0,45000,0,0,0,0,0
진원이엔씨,22000,27000,31000,0,0,0,0,0,0,0,0,0
창림건업,24000,0,32000,0,35000,130000,0,0,0,0,0,0
창원상사,24000,28000,32000,0,50000,135000,0,0,0,0,0,0
철물마트(전주),25000,0,0,0,0,0,0,0,0,0,0,0
청암상사,24000,28000,0,6000,0,0,0,0,0,0,0,0
코리아산업,22000,28000,32000,0,0,0,0,0,0,0,0,0
큐맥스,23000,29000,31000,0,0,0,0,0,0,0,0,0
태명상사,23000,28000,32000,0,0,0,0,0,0,0,0,0
태성건재,25000,30000,35000,0,0,0,0,30000,0,0,0,0
토픽,26000,31000,34000,0,0,0,0,0,0,0,0,0
프라임화학,25000,0,32300,0,0,120000,0,0,0,0,0,0
하나토탈,23000,28000,31000,0,0,0,0,0,0,0,0,0
하늘산,22000,28000,0,0,0,0,0,0,0,0,0,0
